op_id,op_name,op_str,sim_start,ana_start,delta_start,sim_end,ana_end,delta_end,sim_duration,ana_duration,delta_duration,sim_tiles,ana_N_fire,sim_avg_tile_dur,ana_T_fire,ana_OCI,ana_OTI,ana_ICI,ana_ICD,ana_fto
630,UnaryMap,UnaryMap_630 (fn: Silu),106.0,95,-11.0,107.0,96,-11.0,1.0,1,0.0,1.0,1,1.0,1,1,1,0,0,96
631,UnaryMap,UnaryMap_631 (fn: Silu),110.0,95,-15.0,143.0,96,-47.0,33.0,1,-32.0,2.0,1,1.0,1,1,1,0,0,96
632,UnaryMap,UnaryMap_632 (fn: Silu),112.0,95,-17.0,145.0,96,-49.0,33.0,1,-32.0,2.0,1,1.0,1,1,1,0,0,96
633,BinaryMap,BinaryMap_633 (fn: Mul),106.0,96,-10.0,107.0,97,-10.0,1.0,1,0.0,1.0,1,1.0,1,1,1,0,0,97
634,BinaryMap,BinaryMap_634 (fn: Mul),108.0,96,-12.0,109.0,97,-12.0,1.0,1,0.0,1.0,1,1.0,1,1,1,0,0,97
635,BinaryMap,BinaryMap_635 (fn: Mul),112.0,96,-16.0,145.0,97,-48.0,33.0,1,-32.0,2.0,1,1.0,1,1,1,0,0,97
636,BinaryMap,BinaryMap_636 (fn: Mul),114.0,96,-18.0,147.0,97,-50.0,33.0,1,-32.0,2.0,1,1.0,1,1,1,0,0,97
637,LinearOffChipLoadRef,LinearOffChipLoadRef_637 (rank=0),46.0,26,-20.0,71.0,63,-8.0,25.0,37,12.0,1.0,1,25.0,0,37,37,0,0,63
638,LinearOffChipLoadRef,LinearOffChipLoadRef_638 (rank=0),46.0,26,-20.0,73.0,63,-10.0,27.0,37,10.0,1.0,1,27.0,0,37,37,0,0,63
639,LinearOffChipLoadRef,LinearOffChipLoadRef_639 (rank=0),48.0,26,-22.0,94.0,63,-31.0,46.0,37,-9.0,2.0,1,23.0,0,37,37,0,0,63
640,LinearOffChipLoadRef,LinearOffChipLoadRef_640 (rank=0),48.0,26,-22.0,94.0,63,-31.0,46.0,37,-9.0,2.0,1,23.0,0,37,37,0,0,63
641,Flatten,"Flatten_641 (0 D, 1 D)",,63,,,63,,,0,,,1,,0,0,0,0,0,63
642,Flatten,"Flatten_642 (0 D, 1 D)",,63,,,63,,,0,,,1,,0,0,0,0,0,63
643,Flatten,"Flatten_643 (0 D, 1 D)",,63,,,63,,,0,,,1,,0,0,0,0,0,63
644,Flatten,"Flatten_644 (0 D, 1 D)",,63,,,63,,,0,,,1,,0,0,0,0,0,63
645,BinaryMapAccum,BinaryMapAccum_645 (fn: Matmul(transposed=False)),108.0,97,-11.0,140.0,129,-11.0,32.0,32,0.0,1.0,1,32.0,32,32,32,0,0,129
646,BinaryMapAccum,BinaryMapAccum_646 (fn: Matmul(transposed=False)),110.0,97,-13.0,142.0,129,-13.0,32.0,32,0.0,1.0,1,32.0,32,32,32,0,0,129
647,BinaryMapAccum,BinaryMapAccum_647 (fn: Matmul(transposed=False)),114.0,97,-17.0,178.0,129,-49.0,64.0,32,-32.0,2.0,1,32.0,32,32,32,0,0,129
648,BinaryMapAccum,BinaryMapAccum_648 (fn: Matmul(transposed=False)),116.0,97,-19.0,180.0,129,-51.0,64.0,32,-32.0,2.0,1,32.0,32,32,32,0,0,129
649,RetileStreamify,RetileStreamify_649,,129,,,129,,,0,,,1,,0,0,0,0,0,129
650,RetileStreamify,RetileStreamify_650,,129,,,129,,,0,,,1,,0,0,0,0,0,129
651,RetileStreamify,RetileStreamify_651,,129,,,129,,,0,,,1,,0,0,0,0,0,129
652,RetileStreamify,RetileStreamify_652,,129,,,129,,,0,,,1,,0,0,0,0,0,129
653,FlatPartition,FlatPartition_653 (0 D),6.0,8,2.0,176.0,33,-143.0,170.0,25,-145.0,16.0,4,8.4375,1,8,32,0,0,9
654,BinaryMap,BinaryMap_654 (fn: Mul),142.0,129,-13.0,152.0,130,-22.0,10.0,1,-9.0,3.0,1,1.6666666666666667,1,1,1,0,0,130
655,BinaryMap,BinaryMap_655 (fn: Mul),144.0,129,-15.0,148.0,130,-18.0,4.0,1,-3.0,3.0,1,1.0,1,1,1,0,0,130
656,BinaryMap,BinaryMap_656 (fn: Mul),148.0,129,-19.0,181.0,130,-51.0,33.0,1,-32.0,5.0,1,1.0,1,1,1,0,0,130
